,,Grouped by DEATH_EVENT,Grouped by DEATH_EVENT,Grouped by DEATH_EVENT,Grouped by DEATH_EVENT,Grouped by DEATH_EVENT,Grouped by DEATH_EVENT
,,Missing,Overall,Deceased,Survived,P-Value,Test
n,,,299,96,203,,
"Age (years), mean (SD)",,0,60.8 (11.9),65.2 (13.2),58.8 (10.6),<0.001,Welch’s T-test
"Creatine Phosphokinase (mcg/L), median [Q1,Q3]",,0,"250.0 [116.5,582.0]","259.0 [128.8,582.0]","245.0 [109.0,582.0]",0.684,Kruskal-Wallis
"Ejection Fraction (%), mean (SD)",,0,38.1 (11.8),33.5 (12.5),40.3 (10.9),<0.001,Welch’s T-test
"Platelets (kiloplatelets/mL), median [Q1,Q3]",,0,"262000.0 [212500.0,303500.0]","258500.0 [197500.0,311000.0]","263000.0 [219500.0,302000.0]",0.425,Kruskal-Wallis
"Serum Creatinine (mg/dL), median [Q1,Q3]",,0,"1.1 [0.9,1.4]","1.3 [1.1,1.9]","1.0 [0.9,1.2]",<0.001,Kruskal-Wallis
"Serum Sodium (mEq/L), mean (SD)",,0,136.6 (4.4),135.4 (5.0),137.2 (4.0),0.002,Welch’s T-test
"Follow-up Time (days), median [Q1,Q3]",,0,"115.0 [73.0,203.0]","44.5 [25.5,102.2]","172.0 [95.0,213.0]",<0.001,Kruskal-Wallis
"Anaemia, n (%)",No,,170 (56.9),50 (52.1),120 (59.1),0.307,Chi-squared
"Anaemia, n (%)",Yes,,129 (43.1),46 (47.9),83 (40.9),,
"Diabetes Mellitus, n (%)",No,,174 (58.2),56 (58.3),118 (58.1),1.000,Chi-squared
"Diabetes Mellitus, n (%)",Yes,,125 (41.8),40 (41.7),85 (41.9),,
"Hypertension, n (%)",No,,194 (64.9),57 (59.4),137 (67.5),0.214,Chi-squared
"Hypertension, n (%)",Yes,,105 (35.1),39 (40.6),66 (32.5),,
"Sex, n (%)",Female,,105 (35.1),34 (35.4),71 (35.0),1.000,Chi-squared
"Sex, n (%)",Male,,194 (64.9),62 (64.6),132 (65.0),,
"Current Smoker, n (%)",No,,203 (67.9),66 (68.8),137 (67.5),0.932,Chi-squared
"Current Smoker, n (%)",Yes,,96 (32.1),30 (31.2),66 (32.5),,
"DEATH_EVENT, n (%)",Deceased,,96 (32.1),96 (100.0),0 (0.0),<0.001,Chi-squared
"DEATH_EVENT, n (%)",Survived,,203 (67.9),0 (0.0),203 (100.0),,
