provinsi,kabupaten_kota,derajat_desentralisasi_2023,rasio_kemandirian_2023,tingkat_penyerapan_pendapatan,tingkat_penyerapan_belanja,rasio_pajak,rasio_efektivitas_pad,rasio_efektivitas_pajak,rasio_belanja_thd_pendapatan,log_derajat_desentralisasi_2023,log_rasio_kemandirian_2023,log_tingkat_penyerapan_pendapatan,log_tingkat_penyerapan_belanja,log_rasio_pajak,log_rasio_efektivitas_pad,log_rasio_efektivitas_pajak,log_rasio_belanja_thd_pendapatan
Aceh,Kab. Aceh Barat,11.37,12.97,105.63,101.55,1.95,114.28,102.13,100.27,2.5152741864043966,2.6369121732688705,4.669364898030088,4.63035048451839,1.0818051703517284,4.747363951691266,4.635990328327978,4.617790217344194
Aceh,Kab. Aceh Barat Daya,12.65,14.78,102.79,92.86,1.0,116.05,100.38,100.8,2.613739521630969,2.7587433154177283,4.642369626977198,4.541804310366271,0.6931471805599453,4.76260119393692,4.6188758330442035,4.623010104116422
Aceh,Kab. Aceh Besar,8.59,9.56,98.88,97.43,5.53,95.99,88.8,99.09,2.2607208888953467,2.3570732782781154,4.603969465411573,4.58934563564112,1.8764069432883397,4.574607880405451,4.497584975308154,4.606069781230928
Aceh,Kab. Aceh Jaya,8.39,9.25,103.83,100.24,0.8,108.48,104.93,98.53,2.2396452932201716,2.327277705584417,4.6523399904644815,4.617493935676923,0.5877866649021191,4.695741884172478,4.662778498608405,4.600459106257972
Aceh,Kab. Aceh Selatan,11.95,13.77,102.2,98.92,0.95,110.79,117.74,102.19,2.5610957881455465,2.6925980965432883,4.636668853047462,4.604369865817322,0.6678293725756554,4.716622111282234,4.776936228842529,4.636571949127623
Aceh,Kab. Aceh Singkil,5.71,6.12,102.56,99.05,1.01,84.8,69.8,97.41,1.9035989509835904,1.9629077254238845,4.640151154883337,4.605670061029742,0.6981347220709844,4.4520190064939165,4.259859000699674,4.589142424910894
Aceh,Kab. Aceh Tamiang,10.53,12.16,105.57,99.87,1.36,129.21,99.5,97.74,2.4449523342809676,2.5771819258971713,4.668802046232865,4.613832559066744,0.8586616190375187,4.869148531740637,4.61015772749913,4.592490132830717
Aceh,Kab. Aceh Tengah,12.39,14.35,102.03,99.92,1.09,106.67,93.47,97.34,2.5945081597030812,2.731115474033206,4.635020207956977,4.614328123772857,0.7371640659767197,4.679070993827626,4.548282323781043,4.5884308619837935
Aceh,Kab. Aceh Tenggara,7.89,8.66,102.26,101.83,0.8,106.55,60.87,100.27,2.1849270495258133,2.2679936482244267,4.637250079451503,4.6330771392411,0.5877866649021191,4.677955855713739,4.125035409542898,4.617790217344194
Aceh,Kab. Aceh Timur,7.76,8.6,102.95,103.09,1.21,134.67,109.8,100.03,2.1701959049483,2.2617630984737906,4.643910014304022,4.645255909527377,0.7929925155296614,4.910225466497217,4.707726774313183,4.615417502439641
