provinsi;kabupaten_kota;derajat_desentralisasi_2023;rasio_kemandirian_2023;tingkat_penyerapan_pendapatan;tingkat_penyerapan_belanja;rasio_pajak;rasio_efektivitas_pad;rasio_efektivitas_pajak;rasio_belanja_thd_pendapatan
Aceh;Kab. Aceh Barat;11.37;12.97;105.63;101.55;1.95;114.28;102.13;100.27
Aceh;Kab. Aceh Barat Daya;12.65;14.78;102.79;92.86;1.0;116.05;100.38;100.8
Aceh;Kab. Aceh Besar;8.59;9.56;98.88;97.43;5.53;95.99;88.8;99.09
Aceh;Kab. Aceh Jaya;8.39;9.25;103.83;100.24;0.8;108.48;104.93;98.53
Aceh;Kab. Aceh Selatan;11.95;13.77;102.2;98.92;0.95;110.79;117.74;102.19
Aceh;Kab. Aceh Singkil;5.71;6.12;102.56;99.05;1.01;84.8;69.8;97.41
Aceh;Kab. Aceh Tamiang;10.53;12.16;105.57;99.87;1.36;129.21;99.5;97.74
Aceh;Kab. Aceh Tengah;12.39;14.35;102.03;99.92;1.09;106.67;93.47;97.34
Aceh;Kab. Aceh Tenggara;7.89;8.66;102.26;101.83;0.8;106.55;60.87;100.27
Aceh;Kab. Aceh Timur;7.76;8.6;102.95;103.09;1.21;134.67;109.8;100.03
Aceh;Kab. Aceh Utara;8.4;9.32;103.25;101.28;1.62;109.95;128.92;100.29
Aceh;Kab. Bener Meriah;8.39;9.32;104.78;102.43;0.67;136.82;102.67;99.71
Aceh;Kab. Bireuen;10.1;11.43;103.64;100.49;1.47;119.35;82.53;97.29
Aceh;Kab. Gayo Lues;6.86;7.43;105.47;103.36;0.76;127.27;150.28;100.06
Aceh;Kab. Nagan Raya;8.74;9.74;97.65;97.02;1.71;104.97;152.94;104.59
Aceh;Kab. Pidie;11.21;12.85;101.47;99.61;1.42;107.49;151.07;98.12
Aceh;Kab. Pidie Jaya;11.27;12.88;105.14;108.63;1.12;105.05;135.02;103.2
Aceh;Kab. Simeulue;8.65;9.64;98.05;95.04;0.76;102.94;85.91;100.88
Aceh;Kota Banda Aceh;22.58;29.62;101.38;101.67;8.22;102.09;93.51;100.86
Aceh;Kota Langsa;18.95;23.42;105.42;104.48;2.25;112.34;93.06;101.15
Aceh;Kota Lhokseumawe;7.51;8.26;101.11;93.7;5.24;94.88;116.22;96.36
Aceh;Kota Sabang;9.05;10.0;98.94;94.34;1.12;71.46;87.97;103.26
Aceh;Kota Subulussalam;9.05;10.06;101.92;96.84;0.91;79.01;62.9;97.64
Bali;Kab. Badung;87.41;695.14;119.09;120.25;78.66;121.61;122.61;100.98
Bali;Kab. Bangli;17.39;21.11;98.26;95.32;4.14;101.22;126.86;102.18
Bali;Kab. Buleleng;20.77;26.72;100.28;99.18;9.99;94.95;120.93;99.47
Bali;Kab. Gianyar;58.5;141.07;102.22;92.41;44.69;106.44;123.52;93.53
Bali;Kab. Jembrana;19.78;24.65;108.85;101.11;8.05;139.07;185.52;102.06
Bali;Kab. Karangasem;23.22;30.3;105.98;101.08;14.14;134.66;163.11;96.47
Bali;Kab. Klungkung;25.58;34.37;113.47;97.46;8.3;134.04;189.2;98.91
Bali;Kab. Tabanan;25.39;34.03;103.17;99.08;11.99;102.04;143.24;100.38
